customer_id,idade,genero,localizacao,tempo_cliente_anos,tipo_politica,premio_mensal,nivel_cobertura,sinistros_ultimo_ano,atraso_pagamento_dias,satisfacao_cliente,numero_interacoes_atendimento,churn
143,57,F,Suburbano,27,Basica,104.31,Media,1,15,3,2,0
144,51,M,Urbano,5,Terceiros,223.68,Media,1,0,2,3,0
145,45,M,Rural,10,Basica,138.1,Media,0,0,5,0,0
146,48,F,Suburbano,10,Compreensiva,324.16,Alta,0,0,4,1,0
147,26,M,Suburbano,4,Basica,123.16,Alta,0,0,3,5,0
148,56,F,Urbano,12,Compreensiva,325.35,Media,1,0,3,1,0
149,34,F,Suburbano,20,Compreensiva,318.76,Media,1,0,2,5,0
150,45,F,Suburbano,2,Terceiros,208.31,Media,0,0,3,4,0
151,18,M,Rural,2,Terceiros,200.27,Media,1,0,5,1,0
152,44,F,Urbano,27,Terceiros,222.57,Alta,1,0,3,0,0
153,38,F,Suburbano,7,Terceiros,208.15,Alta,0,0,3,4,0
154,54,F,Urbano,2,Terceiros,226.03,Alta,0,0,5,4,0
155,39,F,Urbano,1,Compreensiva,246.93,Media,0,10,3,1,0
156,44,M,Rural,5,Basica,145.93,Media,0,0,2,1,0
157,43,F,Urbano,3,Terceiros,252.93,Media,0,0,2,5,0
158,40,F,Rural,10,Compreensiva,343.15,Media,1,0,3,1,0
159,33,F,Urbano,8,Basica,117.75,Baixa,0,0,2,0,0
160,40,F,Urbano,1,Basica,100.0,Media,0,17,4,1,1
161,56,M,Urbano,3,Terceiros,244.78,Baixa,0,0,3,4,0
162,42,M,Urbano,6,Compreensiva,315.33,Media,0,0,3,4,0
163,60,M,Urbano,9,Compreensiva,335.16,Media,1,0,3,2,0
164,25,M,Suburbano,6,Compreensiva,276.82,Media,1,0,4,5,0
165,57,F,Urbano,8,Terceiros,228.5,Baixa,1,0,5,3,0
166,44,M,Urbano,7,Terceiros,209.03,Media,0,18,5,2,1
167,63,F,Urbano,11,Terceiros,249.17,Media,1,0,4,1,0
168,35,M,Suburbano,25,Compreensiva,289.57,Media,1,0,5,2,0
169,56,M,Suburbano,5,Terceiros,218.2,Baixa,0,13,5,1,0
170,24,F,Urbano,7,Compreensiva,284.49,Media,0,0,4,1,0
171,29,F,Urbano,9,Compreensiva,311.5,Media,0,0,5,2,0
172,65,F,Suburbano,5,Terceiros,271.12,Alta,1,15,4,0,0
173,56,F,Urbano,7,Terceiros,217.41,Baixa,1,0,1,1,0
174,43,F,Urbano,2,Compreensiva,334.02,Alta,2,0,3,2,0
175,56,F,Suburbano,3,Compreensiva,313.92,Alta,0,0,5,1,0
176,27,F,Urbano,3,Basica,134.16,Alta,1,14,3,0,1
177,47,M,Urbano,4,Compreensiva,301.18,Baixa,0,18,5,1,1
178,57,F,Urbano,17,Terceiros,211.77,Media,0,12,3,3,0
179,39,F,Urbano,1,Compreensiva,298.47,Baixa,1,0,2,2,0
180,50,M,Urbano,15,Compreensiva,310.31,Media,0,17,3,4,0
181,37,F,Urbano,11,Basica,102.29,Media,0,0,2,0,0
182,51,F,Suburbano,1,Terceiros,233.49,Alta,0,0,4,1,0
183,40,M,Rural,4,Compreensiva,340.2,Media,1,0,4,3,0
184,51,M,Suburbano,2,Terceiros,216.25,Media,1,0,4,4,0
185,53,F,Suburbano,5,Terceiros,226.14,Baixa,0,0,4,5,0
186,47,M,Urbano,9,Terceiros,259.77,Media,1,15,1,5,1
187,39,M,Suburbano,12,Compreensiva,288.44,Alta,1,0,3,1,0
188,47,F,Urbano,5,Basica,121.91,Baixa,2,0,2,2,0
189,45,F,Urbano,5,Basica,117.16,Media,2,11,3,3,0
190,43,M,Rural,4,Compreensiva,301.93,Baixa,1,0,5,2,0
191,39,F,Rural,3,Basica,111.29,Baixa,0,17,3,4,1
192,37,F,Urbano,3,Terceiros,204.01,Media,0,12,4,2,0
193,25,F,Urbano,2,Basica,115.02,Baixa,0,0,2,6,0
194,51,M,Urbano,5,Basica,122.85,Media,0,15,5,1,0
195,39,M,Urbano,8,Basica,117.69,Baixa,1,18,3,3,1
196,63,M,Urbano,2,Basica,100.0,Media,0,0,3,2,0
197,54,M,Suburbano,12,Compreensiva,351.71,Media,0,0,4,2,0
198,56,F,Rural,1,Terceiros,237.35,Media,0,0,2,5,0
199,26,M,Urbano,4,Terceiros,189.64,Media,1,14,5,3,1
200,45,M,Urbano,3,Terceiros,263.92,Baixa,1,15,5,0,0
201,37,M,Suburbano,4,Terceiros,186.9,Baixa,0,0,3,2,0
202,44,M,Urbano,6,Compreensiva,287.11,Baixa,0,0,3,0,0
203,41,F,Suburbano,9,Terceiros,201.86,Alta,0,0,4,2,0
204,37,M,Urbano,2,Terceiros,215.37,Alta,1,12,4,3,0
205,29,M,Urbano,10,Basica,132.4,Media,2,0,2,0,0
206,53,F,Urbano,2,Basica,109.85,Alta,0,0,2,2,0
207,42,M,Urbano,15,Terceiros,204.8,Alta,1,0,1,1,0
208,47,F,Urbano,6,Compreensiva,316.38,Alta,0,8,1,1,0
209,28,F,Urbano,4,Terceiros,192.29,Media,0,0,4,0,0
210,52,M,Urbano,8,Terceiros,246.19,Baixa,1,0,1,1,0
211,42,F,Suburbano,9,Terceiros,246.47,Media,3,0,5,2,0
212,56,M,Urbano,3,Terceiros,225.33,Media,0,13,3,0,0
213,58,F,Urbano,3,Compreensiva,350.41,Media,0,0,1,2,0
214,39,M,Suburbano,23,Terceiros,252.93,Media,0,0,5,0,0
215,50,M,Urbano,3,Terceiros,225.13,Alta,0,0,4,1,0
216,41,F,Suburbano,13,Terceiros,230.84,Media,0,25,2,1,1
217,33,M,Urbano,5,Compreensiva,294.11,Media,0,19,3,1,1
218,36,M,Urbano,18,Terceiros,172.81,Media,0,0,2,3,0
219,56,F,Urbano,6,Basica,167.17,Alta,0,0,1,0,0
220,29,F,Suburbano,2,Terceiros,211.42,Media,1,10,3,3,1
221,48,M,Urbano,4,Compreensiva,309.41,Media,1,0,4,1,0
222,58,F,Suburbano,5,Basica,183.32,Media,2,18,3,2,1
223,43,F,Urbano,10,Terceiros,241.38,Alta,1,14,2,2,1
224,42,F,Urbano,7,Terceiros,202.34,Media,0,0,4,2,0
225,39,F,Rural,1,Basica,136.63,Media,2,0,4,6,0
226,44,M,Rural,4,Basica,108.5,Alta,0,0,2,2,0
227,45,F,Urbano,3,Compreensiva,318.42,Alta,0,0,5,2,0
228,37,F,Urbano,3,Compreensiva,280.87,Media,2,13,1,3,1
229,58,F,Urbano,2,Terceiros,206.02,Media,1,0,3,2,0
230,52,F,Suburbano,7,Terceiros,236.33,Alta,0,0,1,1,0
231,44,M,Suburbano,3,Terceiros,184.22,Alta,0,0,4,0,0
232,56,M,Urbano,1,Compreensiva,307.48,Media,0,18,2,0,1
233,31,M,Urbano,10,Terceiros,191.51,Media,0,21,4,3,1
234,64,M,Urbano,3,Terceiros,266.05,Alta,0,0,3,6,0
235,47,M,Urbano,6,Compreensiva,303.06,Media,0,0,1,3,0
236,32,F,Urbano,3,Compreensiva,314.7,Media,1,0,3,2,0
237,54,F,Suburbano,3,Compreensiva,349.55,Baixa,0,0,1,3,0
238,51,M,Rural,12,Basica,107.93,Media,0,0,3,2,0
239,42,F,Urbano,4,Compreensiva,282.61,Alta,0,0,3,1,0
240,44,F,Suburbano,5,Basica,100.0,Baixa,1,0,1,1,0
241,42,F,Urbano,3,Terceiros,221.64,Media,0,0,3,3,0
242,45,M,Urbano,10,Compreensiva,319.65,Alta,0,0,3,1,0
243,37,M,Urbano,4,Basica,102.56,Media,1,0,4,6,0
244,38,F,Suburbano,2,Compreensiva,304.28,Alta,1,0,2,3,0
245,36,F,Suburbano,13,Terceiros,187.25,Alta,0,0,4,2,0
246,65,M,Suburbano,2,Terceiros,239.26,Media,0,0,5,1,0
247,53,F,Suburbano,4,Terceiros,215.35,Baixa,0,0,4,0,0
248,32,M,Urbano,2,Terceiros,200.22,Media,1,12,2,1,1
249,46,M,Urbano,2,Compreensiva,308.33,Media,4,18,1,2,1
250,56,F,Urbano,2,Basica,157.68,Baixa,0,0,4,0,0
251,51,M,Urbano,2,Terceiros,221.75,Media,1,0,5,2,0
252,44,M,Suburbano,4,Terceiros,203.68,Media,0,0,3,2,0
253,38,M,Urbano,3,Compreensiva,323.93,Baixa,3,0,3,2,0
254,32,F,Urbano,2,Compreensiva,290.29,Alta,0,0,3,0,0
255,47,M,Urbano,3,Compreensiva,304.96,Media,1,0,2,3,0
256,42,M,Urbano,16,Terceiros,214.02,Media,1,0,4,1,0
257,39,M,Urbano,11,Terceiros,194.58,Alta,0,0,4,0,0
258,52,F,Rural,4,Basica,134.73,Media,0,0,3,2,0
259,46,M,Urbano,3,Basica,144.05,Media,0,0,3,0,0
260,19,F,Rural,1,Compreensiva,252.01,Media,0,0,4,3,0
261,51,F,Suburbano,4,Basica,134.75,Media,0,0,4,2,0
262,42,M,Suburbano,9,Terceiros,246.99,Media,1,0,3,1,0
263,49,M,Urbano,16,Basica,152.53,Media,0,0,2,2,0
264,47,M,Urbano,5,Basica,100.0,Alta,2,14,4,3,0
265,39,F,Suburbano,3,Compreensiva,309.55,Media,0,18,4,3,1
266,53,M,Urbano,3,Compreensiva,315.04,Baixa,0,19,4,1,1
267,63,F,Urbano,11,Terceiros,237.5,Media,0,16,4,0,0
268,34,M,Urbano,11,Compreensiva,313.7,Media,0,0,3,3,0
269,41,M,Urbano,5,Basica,123.37,Media,0,0,4,2,0
270,60,M,Rural,1,Basica,115.93,Media,0,0,2,1,0
271,50,M,Urbano,6,Basica,121.93,Baixa,1,0,4,2,0
272,35,M,Urbano,4,Terceiros,184.93,Baixa,1,0,3,3,0
273,30,M,Suburbano,2,Basica,102.0,Alta,0,0,4,3,0
274,46,M,Rural,1,Compreensiva,340.97,Media,1,0,5,3,0
275,29,M,Urbano,3,Compreensiva,304.77,Alta,0,23,1,2,1
276,47,M,Urbano,5,Basica,144.45,Media,0,0,1,2,0
277,43,F,Suburbano,10,Terceiros,228.65,Media,0,0,2,1,0
278,43,M,Suburbano,1,Terceiros,225.03,Alta,0,0,4,2,0
279,62,M,Urbano,6,Compreensiva,355.13,Alta,0,9,4,2,0
280,38,M,Suburbano,3,Terceiros,248.3,Alta,1,0,2,6,0
281,59,M,Urbano,8,Terceiros,246.73,Media,0,0,3,3,0
282,31,M,Rural,12,Terceiros,230.04,Alta,0,0,3,2,0
283,64,M,Urbano,15,Terceiros,222.27,Media,0,12,2,0,0
284,25,M,Suburbano,1,Compreensiva,297.11,Baixa,0,14,1,1,1
285,50,M,Urbano,12,Basica,104.22,Media,1,0,3,1,0
286,28,M,Suburbano,5,Basica,100.0,Alta,2,24,1,4,1
287,55,F,Urbano,4,Terceiros,186.69,Media,0,17,4,4,0
288,50,F,Urbano,7,Compreensiva,304.15,Media,0,0,4,3,0
289,37,M,Suburbano,2,Terceiros,188.13,Media,0,0,4,2,0
290,39,F,Urbano,2,Terceiros,217.35,Media,0,0,2,3,0
291,45,M,Urbano,4,Compreensiva,280.31,Baixa,1,0,3,0,0
292,47,F,Urbano,3,Compreensiva,317.42,Media,0,0,2,2,0
293,42,M,Suburbano,9,Basica,120.0,Media,0,0,2,3,0
294,46,M,Suburbano,10,Terceiros,220.34,Baixa,0,14,3,3,0
295,57,F,Urbano,13,Terceiros,222.15,Baixa,0,0,3,4,0
296,47,F,Suburbano,3,Compreensiva,302.85,Media,1,0,4,1,0
297,38,M,Urbano,3,Compreensiva,293.81,Media,0,17,3,0,1
298,33,F,Urbano,4,Terceiros,215.07,Media,0,16,1,3,1
299,55,F,Urbano,8,Basica,158.02,Alta,0,0,5,7,0
300,48,F,Urbano,4,Terceiros,203.44,Media,0,0,4,1,0
301,53,F,Rural,5,Compreensiva,313.12,Media,0,0,4,4,0
302,34,M,Urbano,3,Terceiros,214.04,Media,0,0,3,1,0
303,49,F,Suburbano,3,Terceiros,196.76,Baixa,1,18,3,0,1
304,59,F,Urbano,4,Terceiros,240.09,Media,0,0,4,3,0
305,48,M,Urbano,2,Terceiros,229.52,Media,0,0,3,0,0
306,51,F,Urbano,11,Compreensiva,311.8,Media,0,0,5,3,0
307,32,M,Rural,1,Terceiros,222.64,Alta,1,16,5,6,1
308,60,M,Suburbano,2,Terceiros,248.07,Alta,1,0,4,3,0
309,51,F,Urbano,5,Compreensiva,331.45,Alta,0,0,3,4,0
310,45,F,Suburbano,7,Terceiros,194.27,Baixa,0,0,4,1,0
311,41,F,Urbano,7,Compreensiva,337.65,Alta,1,0,2,6,0
312,42,F,Urbano,2,Terceiros,184.71,Media,1,0,4,1,0
313,44,F,Suburbano,1,Compreensiva,295.97,Media,1,17,5,3,1
314,38,F,Urbano,30,Terceiros,219.97,Baixa,0,7,1,0,0
315,42,F,Suburbano,1,Terceiros,202.87,Media,0,0,3,1,0
316,40,F,Suburbano,9,Terceiros,191.94,Alta,0,0,5,1,0
317,40,M,Rural,2,Compreensiva,303.63,Alta,1,0,2,1,0
318,36,M,Urbano,3,Terceiros,239.44,Media,0,0,5,1,0
319,30,F,Suburbano,4,Compreensiva,303.13,Media,0,0,3,2,0
320,21,M,Urbano,7,Terceiros,235.55,Media,2,0,2,4,0
321,62,F,Urbano,4,Terceiros,234.31,Media,0,13,4,1,0
322,42,F,Urbano,2,Basica,126.24,Alta,0,0,1,2,0
323,59,F,Urbano,2,Terceiros,209.74,Media,0,0,3,1,0
324,40,F,Urbano,3,Terceiros,193.9,Alta,0,13,5,3,0
325,33,M,Suburbano,2,Terceiros,223.33,Alta,1,0,1,0,0
326,48,M,Urbano,6,Terceiros,210.45,Alta,0,0,4,0,0
327,53,M,Suburbano,1,Terceiros,227.15,Baixa,0,0,5,2,0
328,42,M,Urbano,2,Terceiros,162.85,Media,0,18,3,2,1
329,39,M,Urbano,5,Compreensiva,276.55,Alta,1,0,3,1,0
330,39,F,Urbano,4,Basica,113.75,Alta,0,0,3,1,0
331,39,F,Urbano,6,Terceiros,221.69,Media,0,0,3,2,0
332,48,M,Urbano,8,Compreensiva,325.08,Baixa,0,14,3,0,0
333,45,F,Urbano,8,Compreensiva,332.17,Alta,0,0,3,0,0
334,47,F,Suburbano,15,Terceiros,236.2,Media,1,18,4,2,0
335,54,M,Suburbano,6,Terceiros,249.37,Media,1,0,3,0,0
336,41,M,Urbano,3,Compreensiva,291.88,Media,1,0,1,1,0
337,45,M,Suburbano,2,Compreensiva,246.43,Baixa,0,0,4,6,0
338,62,M,Rural,4,Compreensiva,322.1,Media,1,0,3,1,0
339,57,F,Suburbano,2,Compreensiva,316.07,Media,1,0,3,2,0
340,42,M,Urbano,2,Compreensiva,320.73,Media,0,19,3,3,1
341,43,F,Urbano,5,Compreensiva,305.62,Media,0,0,2,2,0
342,51,F,Suburbano,1,Compreensiva,322.22,Media,0,0,4,3,0
343,44,M,Suburbano,3,Compreensiva,314.01,Baixa,0,0,3,2,0
344,51,F,Rural,5,Terceiros,247.55,Media,1,0,4,2,0
345,29,F,Urbano,10,Terceiros,149.46,Baixa,0,0,4,3,0
346,43,F,Urbano,2,Terceiros,222.51,Media,0,0,2,2,0
347,46,F,Suburbano,5,Basica,124.07,Alta,1,0,4,0,0
348,46,M,Rural,6,Compreensiva,303.17,Alta,0,0,3,4,0
349,42,M,Suburbano,4,Terceiros,202.12,Media,1,0,5,1,0
350,41,F,Suburbano,1,Compreensiva,277.25,Alta,1,0,2,3,0
351,47,M,Suburbano,6,Terceiros,236.15,Media,0,15,2,3,1
352,57,F,Urbano,10,Compreensiva,281.91,Media,1,15,4,2,0
353,44,F,Suburbano,8,Terceiros,227.99,Alta,0,0,2,4,0
354,55,F,Urbano,7,Basica,136.37,Alta,0,0,2,2,0
355,41,M,Suburbano,8,Compreensiva,277.06,Media,1,0,5,0,0
356,48,F,Urbano,2,Compreensiva,319.82,Media,1,0,3,0,0
357,25,F,Suburbano,1,Basica,138.87,Baixa,0,0,2,2,0
358,59,M,Suburbano,19,Compreensiva,289.07,Media,1,13,2,0,0
359,57,M,Urbano,9,Terceiros,225.92,Baixa,0,0,4,2,0
360,38,M,Suburbano,11,Terceiros,156.06,Alta,0,0,4,1,0
361,58,M,Suburbano,8,Compreensiva,328.76,Media,0,0,4,1,0
362,36,M,Suburbano,1,Compreensiva,293.07,Media,1,0,5,3,0
363,40,M,Rural,2,Basica,100.0,Media,1,0,2,2,0
364,58,F,Urbano,7,Terceiros,224.67,Baixa,1,17,1,2,1
365,31,F,Urbano,4,Terceiros,243.23,Baixa,0,0,5,3,0
366,57,M,Suburbano,9,Compreensiva,334.52,Baixa,0,9,5,4,0
367,61,M,Urbano,7,Basica,160.96,Baixa,0,0,5,2,0
368,52,F,Urbano,6,Terceiros,210.64,Alta,0,0,5,2,0
369,36,M,Rural,4,Terceiros,237.39,Media,1,0,5,0,0
370,41,F,Urbano,1,Compreensiva,279.83,Alta,0,0,2,3,0
371,46,M,Urbano,5,Compreensiva,326.26,Media,0,0,4,0,0
372,55,F,Suburbano,13,Compreensiva,297.4,Baixa,1,0,5,6,0
373,51,F,Urbano,6,Compreensiva,291.0,Media,0,0,2,3,0
374,41,M,Urbano,1,Compreensiva,286.05,Alta,0,18,2,0,1
